annee,categorie
1923,Spectacle / Sociabilité
1923,Bar / Café
1923,Bar / Café
1923,Restaurant
1923,Hôtel / Pension
1923,Bar / Café
1923,Hôtel / Pension
1923,Bar / Café
1923,Hôtel / Pension
1923,Bar / Café
1923,Hôtel / Pension
1923,Bar / Café
1923,Bar / Café
1923,Hôtel / Pension
1923,Restaurant
1923,Bar / Café
1923,Bar / Café
1923,Bar / Café
1923,Bar / Café
1923,Bar / Café
1923,Hôtel / Pension
1923,Hôtel / Pension
1923,Bar / Café
1923,Bar / Café
1923,Bar / Café
1923,Spectacle / Sociabilité
1923,Bar / Café
1923,Hôtel / Pension
1923,Hôtel / Pension
1923,Hôtel / Pension
1951,Club / Société
1951,Bar / Café
1951,Hôtel / Pension
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Bar / Café
1951,Club / Société
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Restaurant
1951,Restaurant
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Restaurant
1951,Bar / Café
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Club / Société
1951,Bar / Café
1951,Hôtel / Pension
1951,Club / Société
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Hôtel / Pension
1951,Hôtel / Pension
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Hôtel / Pension
1951,Club / Société
1951,Bar / Café
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Restaurant
1951,Club / Société
1951,Club / Société
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Restaurant
1951,Spectacle / Sociabilité
1951,Club / Société
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Club / Société
1951,Restaurant
1951,Spectacle / Sociabilité
1951,Spectacle / Sociabilité
1951,Bar / Café
1951,Bar / Café
1951,Spectacle / Sociabilité
